Employee_ID,FirstName,LastName,Gender,Age,Education,EducationField,Country,JobRole,YearsAtCompany,BusinessTravel,Department,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHQ,StreetAddress,City,State,Zipcode,Longitude,Latitude,AgeWhenHired,MaritalStatus,Over18,PercentSalaryHike,StockOptionLevel,MonthlyIncome,DailyRate,HourlyRate,WorkLifeBalanceScore,LeadershipScore,CultureScore,Benefits_LeaveScore,CompensationScore,HappinessPercent,Attrition,MonthlyIncome_SDBIN
1.000000,"Alex","Larson","M",46.000000,"Some College","Medical","United States","Human Resources",4.000000,"Travel_Rarely","Marketing","Medium","High","Associate","Medium",8.000000,"Yes","Outstanding","Very High",16.000000,2.000000,3.000000,2.000000,0.000000,2.000000,4.127600,"5020 45TH ST","New York","NY",11377.000000,-73.921166,40.736936,31.000000,"Divorced","Y",22.000000,"Full Option Plan",5021.000000,167.366667,20.920833,0.752000,0.869000,0.782000,0.726000,0.786000,0.628936,"No",0
2.000000,"Nikhil","Mckee","M",59.000000,"Masters","Human Resources","United States","Manager",3.000000,"Non-Travel","Marketing","High","Medium","VP to C-Level","Very High",9.000000,"No","Outstanding","Very High",30.000000,3.000000,3.000000,2.000000,2.000000,2.000000,5.985300,"11808 29TH AVE","New York","NY",11354.000000,-73.857836,40.771946,43.000000,"Married","Y",21.000000,"Full Option Plan",18844.000000,628.133333,78.516667,0.811000,0.772000,0.795000,0.731000,0.776000,0.984052,"No",1
3.000000,"Tyrone","Summers","M",54.000000,"Bachelors","Human Resources","United States","Manager",5.000000,"Non-Travel","Marketing","Very High","Very High","Executive","Very High",2.000000,"Yes","Excellent","High",23.000000,3.000000,3.000000,3.000000,4.000000,4.000000,2.237500,"3147 BROADWAY","New York","NY",10027.000000,-73.959506,40.814188,35.000000,"Single","Y",12.000000,"No Option Plan",17328.000000,577.600000,72.200000,0.840000,0.761000,0.746000,0.790000,0.691000,0.478744,"No",1
4.000000,"Milagros","Villa","F",26.000000,"Below College","Life Sciences","United States","Human Resources",8.000000,"Travel_Rarely","Finance","High","High","Junior Associate","High",1.000000,"No","Outstanding","Very High",8.000000,3.000000,3.000000,7.000000,5.000000,7.000000,6.987500,"118 GIFFORD AVE","Jersey City","NJ",7304.000000,-74.078146,40.722536,29.000000,"Married","Y",23.000000,"Full Option Plan",2942.000000,98.066667,12.258333,0.748000,0.678000,0.715000,0.772000,0.789000,0.482123,"No",0
5.000000,"Gunner","Petty","M",30.000000,"Bachelors","Human Resources","United States","Human Resources",11.000000,"Travel_Rarely","Finance","High","High","Associate","Very High",0.000000,"Yes","Excellent","Very High",12.000000,2.000000,1.000000,9.000000,4.000000,7.000000,9.102200,"3015 KINGSLAND AVE","New York","NY",10469.000000,-73.841113,40.870504,46.000000,"Married","Y",19.000000,"No Option Plan",6347.000000,211.566667,26.445833,0.845000,0.873000,0.752000,0.658000,0.738000,0.852535,"No",0
6.000000,"Joanna","Combs","F",59.000000,"Some College","Medical","United States","Human Resources",2.000000,"Travel_Rarely","Finance","Medium","High","Junior Associate","High",8.000000,"No","Excellent","Very High",7.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.750500,"243 W 27TH ST","New York","NY",10001.000000,-73.994897,40.747523,45.000000,"Married","Y",17.000000,"No Option Plan",2267.000000,75.566667,9.445833,0.812000,0.715000,0.811000,0.703000,0.830000,0.936386,"No",0
7.000000,"Marques","Clay","M",31.000000,"Bachelors","Human Resources","United States","Human Resources",2.000000,"Travel_Rarely","Finance","Low","Medium","Associate","Low",3.000000,"No","Excellent","Very High",9.000000,1.000000,3.000000,2.000000,1.000000,0.000000,5.178900,"20 RIVER TER","New York","NY",10282.000000,-74.016141,40.716293,32.000000,"Married","Y",12.000000,"No Option Plan",6410.000000,213.666667,26.708333,0.642000,0.776000,0.755000,0.768000,0.784000,0.621818,"No",0
8.000000,"Memphis","Montes","M",42.000000,"Below College","Technical Degree","United States","Human Resources",3.000000,"Travel_Rarely","Finance","High","High","Junior Associate","High",0.000000,"Yes","Excellent","High",4.000000,5.000000,3.000000,2.000000,1.000000,0.000000,6.851600,"346 WASHINGTON AVE","River Edge","NJ",7601.000000,-74.040800,40.867067,43.000000,"Divorced","Y",11.000000,"Full Option Plan",2696.000000,89.866667,11.233333,0.590000,0.796000,0.693000,0.730000,0.693000,0.866096,"No",0
9.000000,"Scott","Riley","M",50.000000,"Bachelors","Medical","United States","Manager",32.000000,"Travel_Frequently","Marketing","Low","High","VP to C-Level","Medium",1.000000,"No","Excellent","High",32.000000,2.000000,3.000000,5.000000,10.000000,7.000000,9.524700,"691 SUMMIT AVE","River Edge","NJ",7601.000000,-74.051074,40.906933,29.000000,"Married","Y",11.000000,"Full Option Plan",18200.000000,606.666667,75.833333,0.673000,0.827000,0.747000,0.869000,0.645000,0.889588,"No",1
10.000000,"Iliana","Mendoza","F",44.000000,"Masters","Life Sciences","United States","Human Resources",2.000000,"Travel_Rarely","Marketing","Low","Medium","Associate","High",4.000000,"No","Excellent","Medium",10.000000,1.000000,4.000000,2.000000,0.000000,2.000000,8.000200,"901 WARING AVE","New York","NY",10469.000000,-73.858581,40.861347,43.000000,"Single","Y",11.000000,"No Option Plan",5985.000000,199.500000,24.937500,0.659000,0.835000,0.762000,0.832000,0.740000,0.974771,"No",0
11.000000,"Angel","Sandoval","F",54.000000,"Masters","Medical","United States","Human Resources",9.000000,"Travel_Rarely","Marketing","High","High","Manager","Medium",2.000000,"No","Excellent","High",16.000000,1.000000,4.000000,7.000000,7.000000,1.000000,2.705100,"1 PLAZA PL","New York","NY",10465.000000,-73.920872,40.791836,29.000000,"Married","Y",15.000000,"Full Option Plan",10725.000000,357.500000,44.687500,0.644000,0.690000,0.782000,0.642000,0.869000,0.966996,"No",1
12.000000,"Karter","Mckenzie","M",41.000000,"Masters","Human Resources","United States","Manager",21.000000,"Travel_Rarely","Marketing","Medium","Medium","VP to C-Level","Very High",3.000000,"No","Excellent","Medium",23.000000,2.000000,2.000000,6.000000,12.000000,6.000000,9.399400,"3232 TIERNEY PL","New York","NY",10465.000000,-73.795612,40.811620,49.000000,"Divorced","Y",15.000000,"Small Option Plan",19141.000000,638.033333,79.754167,0.561000,0.831000,0.835000,0.773000,0.628000,0.850102,"No",1
13.000000,"Josie","Malone","F",41.000000,"Bachelors","Human Resources","United States","Manager",22.000000,"Travel_Rarely","Marketing","Very High","Medium","VP to C-Level","High",1.000000,"No","Excellent","Medium",22.000000,3.000000,3.000000,7.000000,2.000000,10.000000,4.468200,"553 CANAL ST","New York","NY",10013.000000,-74.010457,40.725638,34.000000,"Married","Y",12.000000,"Full Option Plan",19189.000000,639.633333,79.954167,0.508000,0.838000,0.715000,0.869000,0.667000,0.914377,"No",1
14.000000,"Ross","Gay","M",39.000000,"Bachelors","Human Resources","United States","Human Resources",8.000000,"Travel_Rarely","Finance","High","Very High","Associate","Medium",9.000000,"No","Excellent","High",12.000000,3.000000,1.000000,3.000000,3.000000,6.000000,8.106200,"123 OTTAWA AVE","Hasbrouck Heights","NJ",7604.000000,-74.076638,40.869059,44.000000,"Married","Y",15.000000,"Full Option Plan",6389.000000,212.966667,26.620833,0.573000,0.635000,0.729000,0.798000,0.762000,0.971720,"No",0
15.000000,"Natalia","Baird","F",36.000000,"Bachelors","Human Resources","United States","Human Resources",5.000000,"Travel_Rarely","Finance","High","High","Junior Associate","Medium",4.000000,"No","Excellent","Medium",8.000000,2.000000,3.000000,2.000000,0.000000,4.000000,2.202700,"308 MALCOLM X BLVD","New York","NY",10027.000000,-73.945334,40.808175,25.000000,"Married","Y",13.000000,"Full Option Plan",2143.000000,71.433333,8.929167,0.561000,0.774000,0.707000,0.585000,0.785000,0.826133,"No",0
16.000000,"Marques","White","M",34.000000,"Some College","Human Resources","United States","Human Resources",3.000000,"Travel_Rarely","Finance","High","High","Junior Associate","Very High",0.000000,"No","Excellent","High",4.000000,1.000000,1.000000,2.000000,0.000000,2.000000,8.317500,"259 VAN NOSTRAND AVE","West New York","NJ",7305.000000,-74.092163,40.705022,28.000000,"Married","Y",19.000000,"Full Option Plan",3737.000000,124.566667,15.570833,0.549000,0.755000,0.873000,0.763000,0.850000,0.980521,"No",0
17.000000,"Franklin","Griffin","M",28.000000,"Some College","Medical","United States","Human Resources",5.000000,"Travel_Rarely","Finance","Medium","Medium","Junior Associate","Very High",1.000000,"No","Excellent","Very High",6.000000,6.000000,3.000000,1.000000,0.000000,4.000000,2.649000,"252 W 30TH ST","New York","NY",10001.000000,-73.994921,40.749186,45.000000,"Divorced","Y",13.000000,"Full Option Plan",4936.000000,164.533333,20.566667,0.560000,0.769000,0.570000,0.693000,0.656000,0.940343,"No",0
